ticker,mr_trades,mr_wr%,mr_total%,1b_trades,1b_wr%,1b_total%,2b_trades,2b_wr%,2b_total%,best_struct%,best_struct_mode,delta_best_struct_vs_mr%
ASTS,40.0,52.5,362.57,9.0,66.67,220.26,7.0,100.0,660.79,660.79,2buy,298.21999999999997
IONQ,0.0,0.0,0.0,5.0,60.0,91.83,4.0,25.0,9.54,91.83,1buy,91.83
OKLO,16.0,37.5,-11.58,3.0,66.67,31.68,4.0,50.0,36.07,36.07,2buy,47.65
ORCL,0.0,0.0,0.0,5.0,80.0,39.58,6.0,83.33,38.12,39.58,1buy,39.58
AMD,13.0,38.46,-21.81,11.0,54.55,15.3,9.0,55.56,12.18,15.3,1buy,37.11
NBIS,5.0,20.0,-23.45,2.0,50.0,-2.26,0.0,0.0,0.0,0.0,2buy,23.45
SNOW,0.0,0.0,0.0,7.0,57.14,15.47,7.0,57.14,7.66,15.47,1buy,15.47
NVDA,14.0,50.0,17.49,8.0,62.5,19.79,9.0,55.56,30.57,30.57,2buy,13.080000000000002
META,0.0,0.0,0.0,13.0,46.15,-10.11,8.0,50.0,6.83,6.83,2buy,6.83
NNE,0.0,0.0,0.0,2.0,50.0,3.33,2.0,50.0,0.89,3.33,1buy,3.33
DXYZ,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,-10.88,0.0,1buy,0.0
TSLA,14.0,50.0,5.12,8.0,37.5,-7.12,8.0,37.5,-3.82,-3.82,2buy,-8.94
SOUN,0.0,0.0,0.0,8.0,37.5,-12.59,6.0,16.67,-22.33,-12.59,1buy,-12.59
GOOGL,3.0,100.0,39.58,13.0,46.15,10.5,13.0,38.46,0.97,10.5,1buy,-29.08
SOFI,16.0,56.25,87.33,9.0,44.44,15.22,7.0,42.86,-0.25,15.22,1buy,-72.11
RKLB,31.0,67.74,608.09,14.0,57.14,137.75,11.0,63.64,114.99,137.75,1buy,-470.34000000000003
