time,ticker,score,entry,last_close,asof,shares,pnl,pnl_pct
2026-02-24 00:04,CRWD,76,350.54,381.17,2026-02-26 20:30,10,306.3,8.74
2026-02-25 01:01,CRWD,84,352.6,381.17,2026-02-26 20:30,10,285.7,8.1
2026-02-25 00:00,CRWD,73,354.84,381.17,2026-02-26 20:30,10,263.3,7.42
2026-02-24 01:02,RL,90,360.58,379.01,2026-02-26 20:30,10,184.3,5.11
2026-02-24 00:07,TKO,85,205.55,223.8,2026-02-26 20:30,10,182.5,8.88
2026-02-24 01:03,TKO,70,206.34,223.8,2026-02-26 20:30,10,174.6,8.46
2026-02-24 03:00,SNOW,74,155.78,173.12,2026-02-26 20:30,10,173.4,11.13
2026-02-24 00:04,MSFT,71,385.51,401.81,2026-02-26 20:30,10,163.0,4.23
2026-02-24 03:00,MSFT,84,386.39,401.81,2026-02-26 20:30,10,154.2,3.99
2026-02-24 00:06,ETN,95,361.17,374.61,2026-02-26 20:30,10,134.4,3.72
2026-02-25 00:00,DDOG,71,103.78,116.49,2026-02-26 20:30,10,127.1,12.25
2026-02-25 01:02,DDOG,80,104.47,116.49,2026-02-26 20:30,10,120.2,11.51
2026-02-24 00:07,HLT,95,305.83,317.8,2026-02-26 20:30,10,119.7,3.91
2026-02-24 01:02,ORCL,70,138.71,150.29,2026-02-26 20:30,10,115.8,8.35
2026-02-27 00:01,AVGO,77,310.52,321.7,2026-02-26 20:30,10,111.8,3.6
2026-02-25 01:01,SNOW,71,162.68,173.12,2026-02-26 20:30,10,104.4,6.42
2026-02-24 00:04,DDOG,76,106.4,116.49,2026-02-26 20:30,10,100.9,9.48
2026-02-24 00:04,NOW,76,99.51,109.32,2026-02-26 20:30,10,98.05,9.85
2026-02-24 01:03,HLT,80,308.75,317.8,2026-02-26 20:30,10,90.5,2.93
2026-02-24 03:00,AMD,71,195.06,203.67,2026-02-26 20:30,10,86.1,4.41
2026-02-23 22:05,CI,76,280.4,289.0,2026-02-26 20:30,10,86.0,3.07
2026-02-24 00:04,TSLA,73,400.25,408.48,2026-02-26 20:30,10,82.3,2.06
2026-02-24 01:04,COST,88,978.75,986.68,2026-02-26 20:30,10,79.3,0.81
2026-02-24 00:04,PLTR,71,128.21,135.94,2026-02-26 20:30,10,77.3,6.03
