ticker,time,score,entry,last_close,pnl,pnl_pct,exec_mode,rsi14,bb_pct,atr_pct14,above_ma200
AVGO,2026-02-27 00:01,77,310.52,321.7,111.8,3.6,MR,35.4,-0.111,,False
AMD,2026-02-27 00:00,72,202.85,203.67,8.2,0.4,SKIP,31.5,0.308,,False
ANET,2026-02-25 01:02,81,129.45,130.21,7.6,0.59,MR,24.7,0.03,,False
DDOG,2026-02-25 01:02,80,104.47,116.49,120.2,11.51,MR,11.2,-0.084,,False
AVGO,2026-02-25 01:02,70,327.3,321.7,-56.0,-1.71,MR,35.5,0.097,,False
SNOW,2026-02-25 01:01,71,162.68,173.12,104.4,6.42,MR,25.6,-0.03,,False
CRWD,2026-02-25 01:01,84,352.6,381.17,285.7,8.1,MR,11.7,-0.1,,False
TSLA,2026-02-25 01:01,82,404.4,408.48,40.8,1.01,MR,30.8,-0.013,,False
ANET,2026-02-25 00:00,72,128.67,130.21,15.4,1.2,MR,19.6,-0.086,,False
DDOG,2026-02-25 00:00,71,103.78,116.49,127.1,12.25,MR,9.9,-0.262,,False
PLTR,2026-02-25 00:00,75,128.39,135.94,75.5,5.88,MR,11.1,-0.008,,False
CRWD,2026-02-25 00:00,73,354.84,381.17,263.3,7.42,MR,12.0,-0.248,,False
ANET,2026-02-24 23:34,70,128.43,130.21,17.8,1.39,MR,18.6,-0.095,,False
AVGO,2026-02-24 23:34,72,326.52,321.7,-48.2,-1.48,MR,31.9,-0.055,,False
ANET,2026-02-24 23:00,97,137.2,130.21,-69.9,-5.09,SKIP,29.1,0.248,,False
PLTR,2026-02-24 03:00,83,129.97,135.94,59.7,4.59,SKIP,24.8,0.166,,False
MSFT,2026-02-24 03:00,84,386.39,401.81,154.2,3.99,MR,13.9,0.066,,False
AMD,2026-02-24 03:00,71,195.06,203.67,86.1,4.41,MR,36.9,-0.012,,False
SNOW,2026-02-24 03:00,74,155.78,173.12,173.4,11.13,MR,17.0,0.03,,False
DOW,2026-02-24 01:04,85,30.42,29.91,-5.1,-1.68,MR,25.6,0.056,,True
CHTR,2026-02-24 01:04,90,224.52,228.4,38.8,1.73,MR,20.6,-0.02,,True
FTV,2026-02-24 01:04,75,56.73,59.79,30.65,5.4,SKIP,33.5,0.152,,True
COST,2026-02-24 01:04,88,978.75,986.68,79.3,0.81,SKIP,18.8,0.101,,True
TKO,2026-02-24 01:03,70,206.34,223.8,174.6,8.46,SKIP,32.8,0.112,,True
BX,2026-02-24 01:03,70,112.25,117.94,56.9,5.07,MR,7.3,-0.013,,False
CI,2026-02-24 01:03,95,281.62,289.0,73.8,2.62,MR,18.7,0.033,,True
HLT,2026-02-24 01:03,80,308.75,317.8,90.5,2.93,SKIP,31.1,0.187,,True
MOS,2026-02-24 01:03,78,28.42,27.17,-12.5,-4.4,MR,34.4,0.032,,True
HAS,2026-02-24 01:03,93,97.3,100.36,30.6,3.14,MR,18.8,-0.038,,True
MTB,2026-02-24 01:02,90,224.4,225.35,9.5,0.42,MR,27.0,-0.047,,False
RL,2026-02-24 01:02,90,360.58,379.01,184.3,5.11,MR,29.0,-0.117,,True
ORCL,2026-02-24 01:02,70,138.71,150.29,115.8,8.35,MR,14.2,-0.12,,False
TSN,2026-02-24 01:02,75,63.08,63.61,5.3,0.84,SKIP,39.2,0.176,,False
BEN,2026-02-24 01:02,90,26.78,27.42,6.45,2.41,MR,19.8,0.098,,True
DOW,2026-02-24 00:08,95,30.41,29.91,-5.0,-1.64,MR,23.3,0.006,,True
UDR,2026-02-24 00:08,80,37.42,38.08,6.65,1.78,MR,33.7,0.034,,False
LUV,2026-02-24 00:08,95,50.5,50.93,4.3,0.85,MR,12.8,-0.019,,True
SW,2026-02-24 00:08,98,44.97,46.48,15.1,3.36,MR,10.0,-0.222,,True
TKO,2026-02-24 00:07,85,205.55,223.8,182.5,8.88,MR,27.6,0.009,,True
SHW,2026-02-24 00:07,70,361.2,360.51,-6.9,-0.19,SKIP,31.3,0.37,,True
FAST,2026-02-24 00:07,80,45.19,45.69,5.0,1.11,MR,34.0,-0.161,,True
HLT,2026-02-24 00:07,95,305.83,317.8,119.7,3.91,MR,20.5,-0.019,,True
MOS,2026-02-24 00:07,80,28.41,27.17,-12.4,-4.36,MR,36.2,-0.028,,True
ETN,2026-02-24 00:06,95,361.17,374.61,134.4,3.72,MR,11.4,-0.089,,True
AME,2026-02-24 00:06,90,229.38,237.0,76.2,3.32,MR,20.4,-0.202,,True
AKAM,2026-02-24 00:06,96,99.08,99.91,8.3,0.84,MR,23.1,-0.187,,True
MTB,2026-02-24 00:05,85,225.03,225.35,3.2,0.14,MR,30.3,-0.099,,False
BEN,2026-02-24 00:04,80,26.86,27.42,5.65,2.1,SKIP,27.1,0.12,,True
DDOG,2026-02-24 00:04,76,106.4,116.49,100.9,9.48,MR,11.3,-0.231,,False
NOW,2026-02-24 00:04,76,99.51,109.32,98.05,9.85,MR,14.4,-0.21,,False
CRWD,2026-02-24 00:04,76,350.54,381.17,306.3,8.74,MR,11.4,-0.248,,False
MSFT,2026-02-24 00:04,71,385.51,401.81,163.0,4.23,MR,11.9,-0.254,,False
PLTR,2026-02-24 00:04,71,128.21,135.94,77.3,6.03,MR,10.9,-0.012,,False
TSLA,2026-02-24 00:04,73,400.25,408.48,82.3,2.06,MR,27.2,-0.227,,False
LUV,2026-02-23 23:07,90,52.08,50.93,-11.5,-2.21,MR,25.0,0.072,,True
IP,2026-02-23 23:07,85,46.87,43.14,-37.3,-7.96,SKIP,16.8,0.101,,True
PFE,2026-02-23 23:07,73,26.86,27.11,2.55,0.95,SKIP,29.0,0.274,,True
