ticker,price,bar_time,mr_score,mr_ok,struct_types,best_struct
AMT,182.47,2026-02-25 20:30,90,True,,
CTRA,29.91,2026-02-25 20:30,90,True,,
NOC,703.62,2026-02-25 20:30,90,True,,
CMCSA,30.8,2026-02-25 20:30,88,True,,
SJM,106.6,2026-02-25 20:30,88,True,,
STLD,191.48,2026-02-25 20:30,88,True,,
DVN,42.61,2026-02-25 20:30,83,True,,
PHM,134.59,2026-02-25 20:30,83,True,,
BAX,20.74,2026-02-25 20:30,78,True,,
GILD,147.12,2026-02-25 20:30,78,True,,
MLM,673.33,2026-02-25 20:30,75,True,,
PPG,123.12,2026-02-25 20:30,70,True,,
