ticker,price,bar_time,mr_score,mr_ok,struct_types,best_struct
DVN,42.61,2026-02-25 16:30,90,True,,
SJM,107.31,2026-02-25 16:30,90,True,,
FANG,167.32,2026-02-25 16:30,85,True,,
PSX,150.23,2026-02-25 16:30,85,True,,
CARR,61.06,2026-02-25 16:30,80,True,,
CTRA,30.07,2026-02-25 16:30,80,True,,
FSLR,211.11,2026-02-25 16:30,78,True,,
OKE,81.36,2026-02-25 16:30,78,True,,
TXN,212.96,2026-02-25 16:30,78,True,,
GOOGL,310.89,2026-02-25 16:30,76,True,,
PHM,135.18,2026-02-25 16:30,75,True,,
CSGP,43.79,2026-02-25 16:30,70,True,,
LHX,344.45,2026-02-25 16:30,70,True,,
